site,completeness,std,score
43318_43318,0.4298049897134247,0.010134799030512589,0.3039039325085511
43307_2105,0.07652632493987424,0.044241745537862864,0.06684095111927082
43306_2500,0.07557010808148126,0.03176550603461873,0.0624287274674225
43317_43317,0.04954941902581785,0.07450778604543706,0.057036929131703606
6020_6020,0.051056184984497696,0.06977645838919973,0.0566722670059083
765_765,0.04821651067775492,0.07413718433370489,0.055992712774539904
43312_43312,0.041175277447770275,0.0831605228309236,0.05377085106271627
795_795,0.04778186665121266,0.06601311513629474,0.05325124119673728
1050_1050,0.04723131755092579,0.06591468696761114,0.0528363283759314
43305_2550,0.050215873199849326,0.058874461326289595,0.05281344963778141
785_785,0.044101880559821505,0.07305193510486364,0.052786896923334145
1745_1745,0.04665179218220278,0.06687616087474296,0.05271910278996483
43304_2570,0.0493465851467648,0.060171179757493344,0.052593963529983356
790_790,0.047115412477181186,0.06469335837506536,0.05238879624654644
43314_43314,0.04896989365709484,0.059400305310943,0.05209901715324928
6070_6070,0.048448320825244126,0.060418965648758725,0.0520395142722985
7060_7060,0.05259192721161369,0.050733020269312784,0.052034255128923415
1960_1960,0.04853524963055258,0.0600140570918833,0.05197889186895179
43311_43311,0.0475210802352873,0.062291332640861334,0.051952155956959505
4790_4790,0.04989713424705167,0.05668322639123447,0.05193296189030651
2380_2380,0.04676769725594738,0.06383753408089955,0.051888648303433024
5030_5030,0.04497116861290603,0.06629548973568741,0.05136846494974044
770_770,0.04798470053026571,0.05878633969463977,0.05122519227957792
1950_1950,0.048042653067138015,0.05837101064160241,0.051141160339477326
6040_6040,0.042334328185216305,0.07128405541561382,0.05101924635433556
755_755,0.04650691084002202,0.060984636273073434,0.05085022846993745
1930_1930,0.04720234128248964,0.059113265475285975,0.05077561854032854
1110_1110,0.047434151429978845,0.05853886979187967,0.05076556693854909
43309_43309,0.04786879545652111,0.057191530212708785,0.05066561588337741
1725_1725,0.04607226681347976,0.06122566614101044,0.050618286611738963
796_796,0.047115412477181186,0.05867881758579583,0.050584434009765575
2360_2360,0.04676769725594738,0.059185360614658705,0.05049299626356077
43320_43320,0.023528729970154445,0.11333890113657065,0.050471781320079304
780_780,0.04415983309669381,0.06486538610823935,0.05037149900015747
1320_1320,0.04679667352438353,0.05844985258054449,0.05029262724123182
595_595,0.04479731100228913,0.06310864929982526,0.05029071249154997
5010_5010,0.04537683637101214,0.06152355756868419,0.05022085273031375
1080_1080,0.04589840920286285,0.059688888853729645,0.050035553098122895
7040_7040,0.04331952131204544,0.06559684245906172,0.05000271765615032
590_590,0.045434788907884445,0.060478531196049935,0.04994791159433409
2330_2330,0.046564863376894326,0.05783139338236743,0.04994482237853626
1940_1940,0.046912578598128134,0.056748045384572114,0.04986321863406133
43310_2520,0.04807162933557416,0.053754808602101106,0.049776583115532236
2320_2320,0.04236330445365246,0.06695725863954415,0.04974149070941997
9020_9020,0.046999507403436586,0.05610821199126161,0.04973211877978409
585_585,0.04549274144475674,0.05939706995151638,0.04966403999678463
1115_1115,0.046680768450638926,0.055968620810724796,0.04946712415866468
1730_1730,0.04665179218220278,0.05589788869815094,0.04942562113698722
7050_7050,0.04143606386369563,0.06787539574637595,0.04936786342849973
1060_1060,0.04676769725594738,0.055403968941288295,0.04935857876154965
